level_0,index,ran_lat,ran_lng,Name,Country Code,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),lat,lng
0,0,-69.2901780498398,139.63476835854686,hobart,au,62.01,77.0,75.0,4.7,-42.88,147.33
2,3,-46.69386840623722,-36.69748601169192,chuy,uy,50.34,72.0,0.0,14.58,-33.7,-53.46
3,4,-31.114969953994837,12.965113477733098,oranjemund,na,56.26,86.0,1.0,1.12,-28.55,16.43
4,5,64.64474837074758,-77.65717729363996,iqaluit,ca,30.2,80.0,90.0,8.05,63.75,-68.51
5,6,29.896238357644634,73.85509211607751,ganganagar,in,77.54,21.0,0.0,3.04,29.92,73.88
7,8,-84.77751160361512,42.15627584664301,port alfred,za,61.45,76.0,100.0,23.58,-33.59,26.89
8,9,42.07469333045094,-79.40802673653582,jamestown,us,52.0,61.0,75.0,13.87,42.1,-79.24
9,10,-18.908996682418945,-153.75854020719012,tevaitoa,pf,79.54,75.0,5.0,18.95,-16.78,-151.5
10,11,54.36848135315998,-165.97636790979533,bethel,us,60.8,55.0,1.0,4.7,41.37,-73.41
11,12,-44.20419734522172,-10.849380129834458,jamestown,sh,61.72,86.0,97.0,18.75,-15.94,-5.72
12,13,-79.76071140279268,24.706261819571807,bredasdorp,za,57.2,93.0,100.0,12.75,-34.53,20.04
13,14,65.99675536185603,85.10652693306156,igarka,ru,40.68,97.0,100.0,3.91,67.47,86.58
14,15,-50.21478074081317,174.30391705932885,dunedin,nz,60.89,48.0,93.0,12.97,-45.87,170.5
15,16,-17.10189935149326,80.23142128571061,hithadhoo,mv,83.32,72.0,100.0,10.69,-0.6,73.08
16,17,-33.10263521672243,-177.17167770675763,vaini,to,71.6,94.0,90.0,11.41,-21.2,-175.2
17,18,-76.2007140006395,-39.66581265539952,ushuaia,ar,37.4,59.0,75.0,5.08,-54.8,-68.3
18,19,61.78044496134683,81.29648586111165,kargasok,ru,44.74,97.0,98.0,8.52,59.06,80.86
19,20,62.809046594075056,-141.93623682183505,haines junction,ca,51.08,76.0,91.0,7.54,60.75,-137.51
20,21,84.86371645836982,-143.25477940930574,tuktoyaktuk,ca,37.4,100.0,90.0,10.29,69.45,-133.04
21,22,-20.632155408875136,161.056135871145,poum,nc,72.48,64.0,0.0,12.64,-20.23,164.02
22,23,81.80786251955973,104.24034720725439,khatanga,ru,26.11,98.0,67.0,18.88,71.97,102.5
25,27,71.47774439667617,-151.217828413585,barrow,us,35.6,93.0,90.0,21.92,71.29,-156.79
26,28,-36.35936987602272,73.83083278372956,mahebourg,mu,66.2,88.0,20.0,5.82,-20.41,57.7
27,29,-42.78513193265134,-69.2951264825817,san carlos de bariloche,ar,37.0,59.0,90.0,11.41,-41.15,-71.31
28,30,-89.07668116839776,165.7022243100895,bluff,nz,64.99,56.0,60.0,15.01,-46.6,168.33
29,31,7.776452750473069,146.61352722555637,lorengau,pg,83.89,73.0,86.0,11.23,-2.02,147.27
30,32,-4.392653938694437,-139.27353950826492,atuona,pf,78.19,73.0,5.0,20.69,-9.8,-139.03
31,33,24.547261962874074,-91.00801654615498,progreso,mx,79.0,94.0,75.0,5.82,21.28,-89.67
32,35,73.55929640959579,-56.23747898283243,upernavik,gl,31.78,89.0,100.0,8.52,72.79,-56.15
33,36,73.82755364042819,172.19519806302122,pevek,ru,33.78,84.0,94.0,2.53,69.7,170.31
34,37,4.5460207992861825,142.5149511568461,vanimo,pg,82.4,67.0,44.0,5.41,-2.67,141.3
35,39,-57.435372853577825,-6.061269695929326,cape town,za,59.0,76.0,20.0,17.22,-33.93,18.42
36,40,81.54723977761347,23.451646365788406,longyearbyen,sj,33.8,80.0,20.0,6.93,78.22,15.64
37,41,-15.848462990455445,60.38362921783394,grand gaube,mu,68.0,81.0,2.0,1.99,-20.01,57.66
38,42,65.70308170929272,-95.31702087769987,thompson,ca,41.0,75.0,75.0,3.36,55.74,-97.86
40,44,23.181443258789017,82.41018650158611,baikunthpur,in,71.17,68.0,46.0,2.51,23.25,82.55
41,45,-40.39942020318862,139.4976456940483,mount gambier,au,69.8,49.0,33.0,13.87,-37.83,140.77
42,46,71.41450855335526,-135.80954649085254,aklavik,ca,35.6,100.0,90.0,2.24,68.22,-135.01
43,47,-52.75955315819426,158.4616120173767,tuatapere,nz,64.99,56.0,63.0,15.01,-46.13,167.68
44,48,-17.20705624642663,121.35333011894261,broome,au,82.4,74.0,40.0,5.82,-17.97,122.23
45,50,42.43087467128174,5.560337542186687,sanary-sur-mer,fr,55.4,93.0,100.0,5.82,43.12,5.8
46,52,10.919370499872286,-27.055717483603587,sao filipe,cv,82.36,68.0,96.0,12.48,14.9,-24.5
47,54,40.85783855423793,87.97587269072966,korla,cn,53.74,37.0,72.0,6.13,41.76,86.15
48,56,30.626129646428737,150.14357451290584,hasaki,jp,68.0,88.0,40.0,3.36,35.73,140.83
49,57,36.84880941849745,126.92583388631601,seoul,kr,64.4,93.0,90.0,2.01,37.57,126.98
50,58,19.72077682662824,-174.26310412645452,kapaa,us,86.0,66.0,1.0,9.17,22.08,-159.32
51,62,53.232995666887945,-39.64378806806016,nanortalik,gl,38.53,91.0,100.0,11.36,60.14,-45.24
52,63,-37.74010000126381,-114.88973182367357,rikitea,pf,72.75,77.0,0.0,15.99,-23.12,-134.97
53,64,28.07330900829369,-152.52048113610346,kahului,us,93.2,52.0,40.0,11.41,20.89,-156.47
54,65,-36.06898035473553,11.163330135428254,saldanha,za,53.6,71.0,0.0,2.24,-33.01,17.94
55,67,-17.287799943515495,34.02993686475034,tete,mz,80.6,61.0,0.0,14.99,-16.16,33.59
56,69,-46.18835706942679,-25.667498591843326,arraial do cabo,br,77.16,79.0,0.0,18.75,-22.97,-42.03
57,70,15.858727678507705,-43.264595531807885,cayenne,gf,78.8,88.0,83.0,2.24,4.93,-52.33
59,73,39.62639661376011,-21.822880194192493,vila franca do campo,pt,68.0,77.0,40.0,6.93,37.72,-25.43
61,75,-71.5062998568219,34.12397624540924,port elizabeth,za,62.6,77.0,75.0,18.34,-33.92,25.57
62,77,0.6011339207007325,55.05452203199576,victoria,sc,80.6,88.0,20.0,4.7,-4.62,55.45
63,78,71.94125148613429,-71.60716552884776,clyde river,ca,28.4,86.0,90.0,10.29,70.47,-68.59
64,79,-54.25562080146349,175.20597658162376,kaitangata,nz,60.04,56.0,97.0,15.66,-46.28,169.85
65,80,17.000853627317525,-4.064985959205956,goundam,ml,93.38,34.0,50.0,12.68,16.41,-3.67
66,81,83.77354470190738,80.02969293194144,dikson,ru,35.53,83.0,100.0,24.9,73.51,80.55
